Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities",Y. Shin; A. Meneely; L. Williams; J. A. Osborne,"DePaul University, Chicago; North Carolina State University, Raleigh; North Carolina State University, Raleigh; North Carolina State University, Raleigh",IEEE Transactions on Software Engineering,,2011,37,6,772,787,"Security inspection and testing require experts in security who think like an attacker. Security experts need to know code locations on which to focus their testing and inspection efforts. Since vulnerabilities are rare occurrences, locating vulnerable code locations can be a challenging task. We investigated whether software metrics obtained from source code and development history are discriminative and predictive of vulnerable code locations. If so, security experts can use this prediction to prioritize security inspection and testing efforts. The metrics we investigated fall into three categories: complexity, code churn, and developer activity metrics. We performed two empirical case studies on large, widely used open-source projects: the Mozilla Firefox web browser and the Red Hat Enterprise Linux kernel. The results indicate that 24 of the 28 metrics collected are discriminative of vulnerabilities for both projects. The models using all three types of metrics together predicted over 80 percent of the known vulnerable files with less than 25 percent false positives for both projects. Compared to a random selection of files for inspection and testing, these models would have reduced the number of files and the number of lines of code to inspect or test by over 71 and 28 percent, respectively, for both projects.",0098-5589;1939-3520;2326-3881,,10.1109/TSE.2010.81,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5560680,Fault prediction;software metrics;software security;vulnerability prediction.,Fault diagnosis;Software security;Complexity theory;Predictive models;Charge coupled devices,Linux;online front-ends;program testing;public domain software;software fault tolerance;software metrics,code churn;software vulnerabilities;developer activity metrics;security inspection;software metrics;source code;vulnerable code locations;open-source projects;Mozilla Firefox Web browser;Red Hat enterprise Linux kernel,,110,43,,,,,,IEEE,IEEE Journals & Magazines
Fast Start-up for Spartan-6 FPGAs using Dynamic Partial Reconfiguration,J. Meyer; J. Noguera; M. H?¬bner; L. Braun; O. Sander; R. M. Gil; R. Stewart; J. Becker,"Institute for Information Processing Technology, Karlsruhe Institute of Technology, Karlsruhe, Germany; Xilinx Inc., Ireland; Institute for Information Processing Technology, Karlsruhe Institute of Technology, Karlsruhe, Germany; Institute for Information Processing Technology, Karlsruhe Institute of Technology, Karlsruhe, Germany; Institute for Information Processing Technology, Karlsruhe Institute of Technology, Karlsruhe, Germany; Departamento de Electr??nica, Universidad de Alcal?­, Madrid, Spain; Xilinx Inc., Ireland; Institute for Information Processing Technology, Karlsruhe Institute of Technology, Karlsruhe, Germany","2011 Design, Automation & Test in Europe",,2011,,,1,6,"This paper introduces the first available tool flow for Dynamic Partial Reconfiguration on the Spartan-6 family. In addition, the paper proposes a new configuration method called Fast Start-up targeting modern FPGA architectures, where the FPGA is configured in two-steps, instead of using a single (monolithic) full device configuration. In this novel approach, only the timing-critical modules are loaded at power-up using the first high-priority bitstream, while the non-timing critical modules are loaded afterwards. This two-step or prioritized FPGA start-up is used in order to meet the extremely tight startup timing specifications found in many modern applications, like PCI-express or automotive applications. Finally, the developed tool flow and methods for Fast Start-up have been used and tested to implement a CAN-based automotive ECU on a Spartan-6 evaluation board (i.e., SP605). By using this novel approach, it was possible to decrease the initial bitstream size and hence, achieve a configuration time speed-up of up to 4.5??, when compared to a standard configuration solution.",1558-1101;1530-1591;1530-1591,978-3-9810801-8-6978-1-61284-208-0978-3-9810801-7,10.1109/DATE.2011.5763244,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5763244,,Field programmable gate arrays;Vehicle dynamics;Clocks;Timing;Control systems;Software,field programmable gate arrays;monolithic integrated circuits,fast start-up;Spartan-6 FPGA;dynamic partial reconfiguration;tool flow;configuration method;monolithic full device configuration;timing-critical modules;high-priority bitstream,,6,13,,,,,,IEEE,IEEE Conferences
GeTeX: A Tool for Testing Real-Time Embedded Systems Using CAN Applications,M. S. AbouTrab; S. Counsell; R. M. Hierons,NA; NA; NA,2011 18th IEEE International Conference and Workshops on Engineering of Computer-Based Systems,,2011,,,61,70,"Real-Time Embedded Systems (RTES) have an increasing role in controlling the IT that we use on a day-to-day basis. The behaviour of an RTES is not based solely on the interactions it might have with its surrounding environment, but also on the timing requirements it induces. As a result, ensuring that an RTES behaves correctly is non-trivial, especially after adding time as a new dimension to the complexity of the testing process. In previous research, we introduced a 'priority-based' approach which tested the logical and timing behaviour of an RTES modeled formally as UPPAAL Timed Automata (UTA). The 'priority-based' approach was based on producing sets of timed test traces by achieving timing constraints coverage according to three sets of priorities, namely boundary, out-boundary and in-boundary. In this paper, we introduce a new testing tool 'GeTeX' that deploys the ""priority-based"" testing approach. GeTeX is a complete testing tool which generates timed test-cases from UTA models and executes them on the System Under Test (SUT) to identify faults. In its current version, GeTeX supports Control Area Network (CAN) applications.",,978-0-7695-4379-6978-1-4577-0065,10.1109/ECBS.2011.25,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5934805,Real-time embedded systems;real-time model-based testing;testing tool;CAN,Testing;Clocks;Timing;Automata;Real time systems;Cost accounting;Semantics,automata theory;controller area networks;embedded systems;program testing;software tools,GeTeX;real-time embedded system testing;CAN;priority-based approach;UPPAAL timed automata;timing constraints;out-boundary priority;in-boundary priority;priority-based testing;testing tool;system under test;control area network;boundary priority,,1,30,,,,,,IEEE,IEEE Conferences
Goal-Oriented Test Case Selection and Prioritization for Product Line Feature Models,A. Ensan; E. Bagheri; M. Asadi; D. Gasevic; Y. Biletskiy,NA; NA; NA; NA; NA,2011 Eighth International Conference on Information Technology: New Generations,,2011,,,291,298,"The software product line engineering paradigm is amongst the widely used means for capturing and handling the commonalities and variabilities of the many applications of a target domain. The large number of possible products and complex interactions between software product line features makes the effective testing of them a challenge. To conquer the time and space complexity involved with testing a product line, an intuitive approach is the reduction of the test space. In this paper, we propose an approach to reduce the product line test space. We introduce a goal-oriented approach for the selection of the most desirable features from the product line. Such an approach allows us to identify the features that are more important and need to be tested more comprehensively from the perspective of the domain stakeholders. The more important features and the configurations that contain them will be given priority over the less important configurations, hence providing a hybrid test case reduction and prioritization strategy for testing software product lines.",,978-1-61284-427-5978-0-7695-4367,10.1109/ITNG.2011.58,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5945249,Feature Models;Test Case Prioritization;Test Case Selection;Product Lines;Goal Models,Testing;Software;Cognition;Maintenance engineering;Marketing and sales;Complexity theory;Analytical models,computational complexity;product development;program testing;software reusability,goal-oriented test case selection;product line feature model prioritization;software product line engineering paradigm;time complexity;space complexity;software product line testing,,4,20,,,,,,IEEE,IEEE Conferences
How to Shop for Free Online -- Security Analysis of Cashier-as-a-Service Based Web Stores,R. Wang; S. Chen; X. Wang; S. Qadeer,NA; NA; NA; NA,2011 IEEE Symposium on Security and Privacy,,2011,,,465,480,"Web applications increasingly integrate third-party services. The integration introduces new security challenges due to the complexity for an application to coordinate its internal states with those of the component services and the web client across the Internet. In this paper, we study the security implications of this problem to merchant websites that accept payments through third-party cashiers (e.g., PayPal, Amazon Payments and Google Checkout), which we refer to as Cashier-as-a-Service or CaaS. We found that leading merchant applications (e.g., NopCommerce and Interspire), popular online stores (e.g., Buy.com and JR.com) and a prestigious CaaS provider (Amazon Payments) all contain serious logic flaws that can be exploited to cause inconsistencies between the states of the CaaS and the merchant. As a result, a malicious shopper can purchase an item at an arbitrarily low price, shop for free after paying for one item, or even avoid payment. We reported our findings to the affected parties. They either updated their vulnerable software or continued to work on the fixes with high priorities. We further studied the complexity in finding this type of logic flaws in typical CaaS-based checkout systems, and gained a preliminary understanding of the effort that needs to be made to improve the security assurance of such systems during their development and testing processes.",2375-1207;1081-6011,978-0-7695-4402-1978-1-4577-0147,10.1109/SP.2011.26,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5958046,e-Commerce security;web API;Cashier-as-a-Service;logic bug;program verification,Security;Servers;Software;Browsers;Complexity theory;Web services;Google,electronic commerce;financial data processing;Internet;retail data processing;security of data;Web sites,security analysis;cashier-as-a-service based Web stores;third-party services;Internet;merchant Web sites;third-party cashiers;PayPal;Amazon Payments;Google Checkout;NopCommerce;Interspire;Buy.com;JR.com;CaaS-based checkout systems,,31,39,,,,,,IEEE,IEEE Conferences
Hybrid regression testing technique: A multi layered approach,V. Gupta; D. S. Chauhan,"Research Scholar, Uttarakhand Technical University, Dehradun, Uttarakhand, India; Vice Chancellor, Uttarakhand Technical University, Dehradun, Uttarakhand, India",2011 Annual IEEE India Conference,,2011,,,1,5,Software needs to be delivered well in time and within budgets. One way of doing this is performing incremental delivery of the software with each increment being adding new features along with changes requests. This incremental delivery is supported with requirement prioritization and needs to be tested for checking the reliability and quality. Testing of this increment calls for testing of not only of old newly added functionality but also of existing features so as to make sure that old parts that works perfectly well do not malfunctions after new code is added. Thus a new hybrid technique is proposed in this paper that clusters the test cases and prioritizes the clusters on basis of priorities of requirements represented by the clusters and series of selections and prioritizations at levels of test cases reduces the number of test cases to manageable level and execution of these test cases guarantees the testing of highest priority requirements associated with statements that are often associated with failures or has highest number of parents or sibling's statements dependent on it and is likely to be influenced by changes or failures in this statement.,2325-940X;2325-9418,978-1-4577-1109-1978-1-4577-1110-7978-1-4577-1108,10.1109/INDCON.2011.6139363,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6139363,Regression testing;hybrid approach;parallelism;clusters,Testing;Software;Arrays;Visualization;Debugging;Software engineering;Information processing,program testing;program verification;regression analysis;software quality;software reliability,hybrid regression testing technique;multilayered approach;incremental delivery;requirement prioritization;software reliability checking;software quality checking;increment calls;test case execution,,6,11,,,,,,IEEE,IEEE Conferences
Impact Analysis of Configuration Changes for Test Case Selection,X. Qu; M. Acharya; B. Robinson,NA; NA; NA,2011 IEEE 22nd International Symposium on Software Reliability Engineering,,2011,,,140,149,"Testing configurable systems, which are becoming prevalent, is expensive due to the large number of configurations and test cases. Existing approaches reduce this expense by selecting or prioritizing configurations. However, these approaches redundantly run the full test suite for the selected configurations. To address this redundancy, we propose a test case selection approach by analyzing the impact of configuration changes with static program slicing. Given an existing test suite T used for testing a system S under a configuration C, our approach decides for each t in T if t has to be used for testing S under a different configuration C'. We have evaluated our approach on a large industrial system within ABB with promising results.",2332-6549;1071-9458;1071-9458,978-1-4577-2060-4978-0-7695-4568,10.1109/ISSRE.2011.9,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6132962,configuration testing;test case selection;program slicing;static impact analysis,Testing;Safety;Equations;Google;Data structures;Approximation methods;Switches,program slicing;program testing,impact analysis;configuration changes;test case selection;configurable system testing;static program slicing,,7,31,,,,,,IEEE,IEEE Conferences
Improving independence in the community for stroke survivors: The role of biomechanics visualisation in ankle-foot orthosis tuning,B. Carse; R. Bowers; B. Meadows; P. Rowe,"Bioengineering, Department, University of Strathclyde, Glasgow, UK; National Centre for Prosthetics and Orthotics, University of Strathclyde, Glasgow, UK; WestMARC, Southern General Hospital, Glasgow, UK; Bioengineering, Department, University of Strathclyde, Glasgow, UK",2011 5th International Conference on Pervasive Computing Technologies for Healthcare (PervasiveHealth) and Workshops,,2011,,,399,403,"One of the key priorities for stroke survivors in their rehabilitation process is regaining their ability to walk. Evidence has shown that provision of ankle-foot orthoses (AFOs) can have a positive impact on walking. This paper discusses the role of gait analysis in the provision of AFOs for stroke survivors. A discussion of the shortcomings of gait analysis techniques is included, with a description of how these might be overcome during the AFO tuning process through the ongoing development of data visualisation software. The design of a randomised controlled trial in conjunction with a series of qualitative measures is described, which will be used to test the efficacy of the visualisation software.",2153-1633;2153-1641,978-1-936968-15-2978-1-61284-767-2978-1-936968-14,10.4108/icst.pervasivehealth.2011.246128,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6038838,stroke;biomechanics;ankle-foot orthoses;gait analysis;visualisation;randomised controlled trial;rehabilitation,Data visualization;Tuning;Biomechanics;Three dimensional displays;Decision making;Software;Interviews,data visualisation;gait analysis;medical computing;orthotics;patient rehabilitation,stroke survivors;biomechanics visualisation;ankle-foot orthosis tuning;rehabilitation process;gait analysis techniques;AFO tuning process;data visualisation software,,,25,,,,,,IEEE,IEEE Conferences
Improving Regression Testing Transparency and Efficiency with History-Based Prioritization -- An Industrial Case Study,E. Engstr??m; P. Runeson; A. Ljung,NA; NA; NA,"2011 Fourth IEEE International Conference on Software Testing, Verification and Validation",,2011,,,367,376,"Background: History based regression testing was proposed as a basis for automating regression test selection, for the purpose of improving transparency and test efficiency, at the function test level in a large scale software development organization. Aim: The study aims at investigating the current manual regression testing process as well as adopting, implementing and evaluating the effect of the proposed method. Method: A case study was launched including: identification of important factors for prioritization and selection of test cases, implementation of the method, and a quantitative and qualitative evaluation. Results: 10 different factors, of which two are history-based, are identified as important for selection. Most of the information needed is available in the test management and error reporting systems while some is embedded in the process. Transparency is increased through a semi-automated method. Our quantitative evaluation indicates a possibility to improve efficiency, while the qualitative evaluation supports the general principles of history-based testing but suggests changes in implementation details.",2159-4848,978-1-61284-174-8978-0-7695-4342,10.1109/ICST.2011.27,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5770626,regression testing;history-based prioritization;regression test selection;regression test prioritization;empirical evaluation;industrial case study;function testing,Testing;Software;History;Equations;Interviews;Context;Systematics,program testing;software houses,regression testing transparency;history-based prioritization;history based regression testing;regression test selection automation;large scale software development organization;manual regression testing process;test management systems;error reporting systems,,8,22,,,,,,IEEE,IEEE Conferences
IMS Threat and Attack Surface Analysis Using Common Vulnerability Scoring System,S. Petajasoja; H. Kortti; A. Takanen; J. Tirila,NA; NA; NA; NA,2011 IEEE 35th Annual Computer Software and Applications Conference Workshops,,2011,,,68,73,"For the purposes of this study, IMS specifications and public sources were analyzed using the general attack surface analysis methodology. These findings were verified and augmented by active scanning and passive analysis of the available real-world IMS test setups that were investigated during the project. As various tests and security probes were performed against the test setups, the system behaviour was analyzed for previously undetermined interactions and transient attack surfaces. After the IMS attack vectors had been identified, the Common Vulnerability Scoring System version 2 (CVSSv2) Base Scores were used to prioritize the IMS attack surface interfaces. CVSS is an industry standard for classifying vulnerabilities. It must be noted however that the idea of applying CVSS scoring to an a priori comparison of vulnerability categories and potential attack surfaces is original research by the authors of this study.",,978-1-4577-0980-7978-0-7695-4459,10.1109/COMPSACW.2011.22,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032214,next generation networks;security;threat analysis;attack surface analysis,Measurement;Protocols;Availability;Authentication;Complexity theory;Surface treatment,computer network security;IP networks;multimedia systems,IMS threat;IMS attack surface analysis;IMS specifications;public sources;general attack surface analysis methodology;active scanning;passive analysis;IMS attack vectors;common vulnerability scoring system version 2 base scores;IMS attack surface interfaces;IP multimedia subsystem,,4,6,,,,,,IEEE,IEEE Conferences
Increasing test coverage using human-based approach of fault injection testing,N. S. M. Yusop; W. F. Abbas; H. Haron; K. A. Kamaruddin,"Faculty of Computer &amp; Mathematical Sciences, Universiti Teknologi Mara, Selangor, Malaysia; Faculty of Computer &amp; Mathematical Sciences, Universiti Teknologi Mara, Selangor, Malaysia; Faculty of Computer &amp; Mathematical Sciences, Universiti Teknologi Mara, Selangor, Malaysia; Faculty of Computer &amp; Mathematical Sciences, Universiti Teknologi Mara, Selangor, Malaysia",2011 Malaysian Conference in Software Engineering,,2011,,,287,291,"Fault injection testing (FIT) approach validates system's fault tolerance mechanism by actively injecting software faults into the targeted areas in the system in order to accelerate its failure rate. This highly complements other testing approaches such as requirements and regression testing implemented during the same testing phase. During testing, it is impossible to run all possible test scenarios. It is especially difficult to predict how the user might use the system functionality correctly as per design. The human interaction through the system may be varies and will leads to the functionality loophole. It is therefore important to have strategic testing approach for evaluating the dependability of computer systems especially in human errors. This paper proposed on applying Knowledge-Based, Fault Prediction Model and Test Case Prioritization approaches that can be combined to increase the test coverage. The goal of this paper is to highlight the needs and advantages of the selected approaches in performing FIT as one of effective testing techniques in the ongoing quest for increased software quality.",,978-1-4577-1531-0978-1-4577-1530-3978-1-4577-1529,10.1109/MySEC.2011.6140685,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6140685,Fault Injection Testing;Software Quality,Software engineering;Humans;Predictive models;Software testing;Software quality,program testing;regression analysis;software fault tolerance,test coverage;human-based approach;fault injection testing;fault tolerance;software faults;regression testing;functionality loophole;strategic testing approach;computer systems;knowledge-based fault prediction model;test case prioritization,,,23,,,,,,IEEE,IEEE Conferences
Industrial experiences with automated regression testing of a legacy database application,E. Rogstad; L. Briand; R. Dalberg; M. Rynning; E. Arisholm,"Simula Research Laboratory, Lysaker, University of Oslo, Dept. of Informatics, Norway; Simula Research Laboratory, Lysaker, University of Oslo, Dept. of Informatics, Norway; The Norwegian Tax Department, Oslo, Norway; The Norwegian Tax Department, Oslo, Norway; Testify AS, University of Oslo, Department of Informatics, Norway",2011 27th IEEE International Conference on Software Maintenance (ICSM),,2011,,,362,371,"This paper presents a practical approach and tool (DART) for functional black-box regression testing of complex legacy database applications. Such applications are important to many organizations, but are often difficult to change and consequently prone to regression faults during maintenance. They also tend to be built without particular considerations for testability and can be hard to control and observe. We have therefore devised a practical solution for functional regression testing that captures the changes in database state (due to data manipulations) during the execution of a system under test. The differences in changed database states between consecutive executions of the system under test, on different system versions, can help identify potential regression faults. In order to make the regression test approach scalable for large, complex database applications, classification tree models are used to prioritize test cases. The test case prioritization can be applied to reduce test execution costs and analysis effort. We report on how DART was applied and evaluated on business critical batch jobs in a legacy database application in an industrial setting, namely the Norwegian Tax Accounting System (SOFIE) at the Norwegian Tax Department (NTD). DART has shown promising fault detection capabilities and cost-effectiveness and has contributed to identify many critical regression faults for the past eight releases of SOFIE.",1063-6773;1063-6773,978-1-4577-0664-6978-1-4577-0663-9978-1-4577-0662,10.1109/ICSM.2011.6080803,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080803,regression testing;legacy database applications;industrial context,Databases;Testing;Mice;Keyboards;Unified modeling language,database management systems;organisational aspects;regression analysis;software maintenance;taxation,industrial experiences;automated regression testing;legacy database application;functional black-box regression testing;organizations;maintenance;regression faults;DART;Norwegian Tax Accounting System;SOFIE;Norwegian Tax Department;NTD;fault detection capabilities,,14,12,,,,,,IEEE,IEEE Conferences
Lower bounds for single machine subproblems occurring in weighted tardiness oriented shifting bottleneck procedures,R. Braune; G. Z??pfel; M. Affenzeller,"Institute for Production and Logistics Management, Johannes Kepler University, Linz, Austria; Institute for Production and Logistics Management, Johannes Kepler University, Linz, Austria; Department of Software Engineering, Upper Austria University of Applied Sciences, Hagenberg, Austria",2011 IEEE Symposium on Computational Intelligence in Scheduling (SCIS),,2011,,,25,32,"In this paper, we propose lower bounds for single machine scheduling problems which occur during a run of a shifting bottleneck procedure for total weighted tardiness job shops. The specific structure of this kind of problem and its objective function in particular prevent an immediate transfer or an adaption of existing lower bounds from ƒ??conventionalƒ? single machine problems with tardiness related objectives. Hence it has been necessary to develop bounding approaches which are to some extent conceptually new. Potential application scenarios range from exact subproblem solution methods or machine prioritization criteria in a shifting bottleneck procedure to branch-and-bound algorithms for job shops with total weighted tardiness objective. In order to provide a significant evaluation of the proposed lower bounds regarding their effectiveness and efficiency, we tested them based on problem instances which actually have been generated in a shifting bottleneck procedure applied to benchmark job shop problems.",,978-1-61284-196-0978-1-61284-195-3978-1-61284-194,10.1109/SCIS.2011.5976548,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5976548,,Schedules;Indexes;Single machine scheduling;Cost function;Processor scheduling;Equations;Complexity theory,integer programming;job shop scheduling;single machine scheduling;tree searching,weighted tardiness oriented shifting bottleneck procedure;single machine scheduling problem;job shops;tardiness related objective;bounding approach;machine prioritization;branch-and-bound algorithm;integer programming,,1,30,,,,,,IEEE,IEEE Conferences
Making the Case for MORTO: Multi Objective Regression Test Optimization,M. Harman,NA,"2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops",,2011,,,111,114,This paper argues that regression test optimization problems such as selection and prioritization require multi objective optimization in order to adequately cater for real world regression testing scenarios. The paper presents several examples of costs and values that could be incorporated into such a Multi Objective Regression Test Optimization (MORTO) approach.,,978-0-7695-4345-1978-1-4577-0019,10.1109/ICSTW.2011.60,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5954399,regression testing;SBSE;testing;Search Based Software Engineering;test selection;test prioritization,Testing;Optimization;Minimization;Software engineering;USA Councils;IEEE Computer Society Press;Conferences,optimisation;program testing;regression analysis,multiobjective regression test optimization;test selection;test prioritization,,18,30,,,,,,IEEE,IEEE Conferences
Modeling the Diagnostic Efficiency of Regression Test Suites,A. Gonzalez-Sanchez; H. Gross; A. J. C. van Gemund,NA; NA; NA,"2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops",,2011,,,634,643,"Diagnostic performance, measured in terms of the manual effort developers have to spend after faults are detected, is not the only important quality of a diagnosis. Efficiency, i.e., the number of tests and the rate of convergence to the final diagnosis is a very important quality of a diagnosis as well. In this paper we present an analytical model and a simulation model to predict the diagnostic efficiency of test suites when prioritized with the information gain algorithm. We show that, besides the size of the system itself, an optimal coverage density and uniform coverage distribution are needed to achieve an efficient diagnosis. Our models allow us to decide whether using IG with our current test suite will provide a good diagnostic efficiency, and enable us to define criteria for the generation or improvement of test suites.",,978-0-7695-4345-1978-1-4577-0019,10.1109/ICSTW.2011.22,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5954476,test prioritization;diagnosis;diagnostic effectiveness,Predictive models;Analytical models;Fault diagnosis;Entropy;Testing;Mathematical model;Bayesian methods,program testing;regression analysis,regression test suites;diagnostic efficiency;information gain algorithm;optimal coverage density;uniform coverage distribution,,3,35,,,,,,IEEE,IEEE Conferences
On Practical Adequate Test Suites for Integrated Test Case Prioritization and Fault Localization,B. Jiang; W. K. Chan; T. H. Tse,NA; NA; NA,2011 11th International Conference on Quality Software,,2011,,,21,30,"An effective integration between testing and debugging should address how well testing and fault localization can work together productively. In this paper, we report an empirical study on the effectiveness of using adequate test suites for fault localization. We also investigate the integration of test case prioritization and statistical fault localization with a postmortem analysis approach. Our results on 16 test case prioritization techniques and four statistical fault localization techniques show that, although much advancement has been made in the last decade, test adequacy criteria are still insufficient in supporting effective fault localization. We also find that the use of branch-adequate test suites is more likely than statement-adequate test suites in the effective support of statistical fault localization.",2332-662X;1550-6002;1550-6002,978-1-4577-0754-4978-0-7695-4468,10.1109/QSIC.2011.37,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6004308,Debugging;testing;continuous integration,Testing;Subspace constraints;Schedules;Debugging;Flexible printed circuits;Cities and towns;Measurement,program debugging;program testing;software fault tolerance;statistical analysis,integrated test case prioritization;debugging;program testing;postmortem analysis approach;statistical fault localization techniques;branch-adequate test suites;statement-adequate test suites,,7,26,,,,,,IEEE,IEEE Conferences
Pragmatic prioritization of software quality assurance efforts,E. Shihab,"Queen's University, Kingston, ON, Canada",2011 33rd International Conference on Software Engineering (ICSE),,2011,,,1106,1109,"A plethora of recent work leverages historical data to help practitioners better prioritize their software quality assurance efforts. However, the adoption of this prior work in practice remains low. In our work, we identify a set of challenges that need to be addressed to make previous work on quality assurance prioritization more pragmatic. We outline four guidelines that address these challenges to make prior work on software quality assurance more pragmatic: 1) Focused Granularity (i.e., small prioritization units), 2) Timely Feedback (i.e., results can be acted on in a timely fashion), 3) Estimate Effort (i.e., estimate the time it will take to complete tasks), and 4) Evaluate Generality (i.e., evaluate findings across multiple projects and multiple domains). We present two approaches, at the code and change level, that demonstrate how prior approaches can be more pragmatic.",1558-1225;0270-5257,978-1-4503-0445-0978-1-4503-0445,10.1145/1985793.1986007,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032601,change risk;software metrics;unit testing,Software;Pragmatics;Measurement;Testing;Guidelines;Data mining;History,computational linguistics;software metrics;software quality,software quality assurance;pragmatic prioritization,,,18,,,,,,IEEE,IEEE Conferences
Prioritising Refactoring Using Code Bad Smells,M. Zhang; N. Baddoo; P. Wernick; T. Hall,NA; NA; NA; NA,"2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops",,2011,,,458,464,"We investigated the relationship between six of Fowler et al.'s Code Bad Smells (Duplicated Code, Data Clumps, Switch Statements, Speculative Generality, Message Chains, and Middle Man) and software faults. In this paper we discuss how our results can be used by software developers to prioritise refactoring. In particular we suggest that source code containing Duplicated Code is likely to be associated with more faults than source code containing the other five Code Bad Smells. As a consequence, Duplicated Code should be prioritised for refactoring. Source code containing Message Chains seems to be associated with a high number of faults in some situations. Consequently it is another Code Bad Smell which should be prioritised for refactoring. Source code containing only one of the Data Clumps, Switch Statements, Speculative Generality, or Middle Man Bad Smell is not likely to be fault-prone. As a result these Code Bad Smells could be put into a lower refactoring priority.",,978-0-7695-4345-1978-1-4577-0019,10.1109/ICSTW.2011.69,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5954447,Code Bad Smells;Refactoring;Fault,Software;Switches;Fault diagnosis;Encoding;Taxonomy;Systematics;Java,software engineering;system recovery,code bad smells;duplicated code;data clumps;switch statements;speculative generality;message chains;middle man;software faults;source code,,2,21,,,,,,IEEE,IEEE Conferences
Prioritizing interaction test suite for t-way testing,S. K. Said; R. R. Othman; K. Z. Zamli,"School of Electrical and Electronic Engineering, Universiti Sains Malaysia Enginering Campus, 14300 Nibong Tebal, Penang, Malaysia; School of Electrical and Electronic Engineering, Universiti Sains Malaysia Enginering Campus, 14300 Nibong Tebal, Penang, Malaysia; School of Electrical and Electronic Engineering, Universiti Sains Malaysia Enginering Campus, 14300 Nibong Tebal, Penang, Malaysia",2011 Malaysian Conference in Software Engineering,,2011,,,292,297,"In recent years, many new t-way interaction based strategies (where t indicates the interaction strength), particularly based on covering arrays, have been developed in the literature. In search of an optimal strategy that generates the most minimum number of tests, many of existing t-way strategies have not sufficiently dealt with test prioritization (i.e. in terms of maximizing new interaction coverage per test). Addressing this issue, this paper highlights a useful prioritization algorithm to reorganize the test cases in order to improve the rate of interaction coverage. This algorithm takes a pre-generated t-way test suite as input and automatically generates a priority ordered test suite as output. In order to demonstrate its applicability, this paper demonstrates the use of the algorithm to help prioritize the test suite generated by existing t-way strategy, MC-MIPOG.",,978-1-4577-1531-0978-1-4577-1530-3978-1-4577-1529,10.1109/MySEC.2011.6140686,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6140686,Interaction Testing;Test Prioritization,Software testing;Algorithm design and analysis;Software;Software engineering;Generators;Arrays,program testing,interaction test suite;t-way testing;t-way interaction based strategy;optimal strategy;test prioritization;pregenerated t-way test suite;MC-MIPOG,,2,16,,,,,,IEEE,IEEE Conferences
